,20.0,45.0,65.0,75.0,85.0
Rotterdam,0.41270336773273475,0.3542850492579869,0.13224480010014683,0.07210428663770699,0.028662496271424587
Sevilla,0.4558183713309238,0.34306489989661654,0.10806258042835469,0.06818199360018769,0.02487215474391738
Sofia,0.4995850959844579,0.2964298413163113,0.11842177730088559,0.06366519382838116,0.021898091569964112
Split,0.41363810511674953,0.3509790740816021,0.12361846910582008,0.08763524686363655,0.024129104832191828
Stockholm,0.47589791407653,0.31726527605101995,0.12094672376479258,0.05915872358060507,0.02673136252705254
Strasbourg,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Szeged,0.42805216598857615,0.3331988417893395,0.13736170553440002,0.07604084185776698,0.02534644482991738
Tallinn,0.47056167393729337,0.3121551262422515,0.11266370822748634,0.07920542726339434,0.025414064329574337
Thessaloniki,0.4173775608387366,0.3413946565560357,0.12019722464085454,0.09098451567697935,0.030046042287393836
Toulouse,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Trieste,0.3164507263447193,0.3478602277188849,0.15665488810365136,0.12367491166077738,0.05535924617196702
Turin,0.35308962684013806,0.35106504843343433,0.14308711702381857,0.1108410479633989,0.04191715973921012
Utrecht,0.43909041658021525,0.35188348664038543,0.12050741176199366,0.06354058602485187,0.024978098992553655
Valencia,0.4238082002335625,0.3473842512257847,0.11732723202204347,0.07891346826778978,0.03256684825081959
Varna,0.4553650585189184,0.3223149652004904,0.13264981718130633,0.07148706662833326,0.01818309247095153
Vienna,0.4713638236505975,0.32138442521631644,0.1149567367119901,0.06427688504326329,0.028018129377832712
Vilnius,0.46453692027462523,0.3268996803794206,0.1074284687028269,0.07721441015595053,0.023920520487176845
Warsaw,0.4639486111961677,0.30344837154943805,0.11854926636275971,0.08105240595511236,0.033001344936522146
Wroclaw,0.46968983505410344,0.3074941672092519,0.11884165814032803,0.07386328403559357,0.03011105556072303
Zagreb,0.438720550222617,0.3311185506553252,0.12422037475841326,0.08226010316674069,0.023680421196903962
Zurich,0.45409204262072095,0.3361029762662667,0.11175724035697392,0.06896571356995639,0.029082027186082115
