agegroup,Bari,Madrid,Marseille,Murcia,Thessaloniki,Valencia,Varna,Berlin,Brasov,Bratislava,Bucharest,Budapest,Cluj-Napoca,Copenhagen,Debrecen,Gdansk,Graz,Gyor,Helsinki,Klaipeda,Kosice,Krakow,Leipzig,Ljubljana,Miskolc,Munich,Oslo,Pecs,Prague,Riga,Sofia,Stockholm,Szeged,Tallinn,Vienna,Vilnius,Warsaw,Wroclaw,Zurich,Bologna,Milan,Toulouse,Trieste,Turin,Zagreb,Amsterdam,Antwerp,Basel,Bilbao,Bordeaux,Brussels,Charleroi,Cologne,Dublin,Dusseldorf,Edinburgh,Frankfurt am Main,Geneva,Ghent,Glasgow,Hamburg,Leeds,Liege,Lille,London,Luxembourg,Lyon,Nantes,Paris,Rotterdam,Strasbourg,Utrecht,Athens,Barcelona,Genoa,Lisbon,Malaga,Montpellier,Naples,Nice,Palermo,Porto,Rome,Sevilla,Split
20.0,51.80400000000001,53.437333333333335,51.916000000000004,51.26533333333334,50.076,51.33866666666666,43.895999999999994,49.54266666666667,45.072,47.394666666666666,45.62,46.744,44.32,49.441333333333326,44.361333333333334,47.20666666666667,50.45066666666668,45.349333333333334,50.71333333333334,44.28933333333334,46.28133333333333,47.88000000000002,49.32533333333333,51.03599999999998,43.51466666666666,50.984000000000016,51.102666666666664,44.54266666666666,49.126666666666665,44.211999999999996,44.62,51.516,44.54266666666666,47.18133333333333,49.48533333333335,44.752,48.199999999999996,46.484,52.310666666666656,52.10533333333333,52.26399999999999,52.30533333333333,51.888,51.49866666666667,46.23199999999999,50.388000000000005,50.973333333333336,52.12266666666668,52.35333333333333,51.848000000000006,49.873333333333335,47.87733333333333,49.75599999999999,50.72666666666666,49.076,48.72,50.285333333333334,52.573333333333345,50.81333333333333,46.74,49.697333333333326,49.13733333333334,48.55866666666666,49.293333333333344,51.63999999999999,51.075999999999986,52.53333333333334,51.833333333333336,52.916,50.45466666666666,51.52666666666668,50.83466666666666,49.697333333333326,52.197333333333326,51.73466666666667,50.526666666666664,50.56000000000001,51.45333333333334,49.91866666666666,51.916000000000004,50.71466666666668,50.452,51.57599999999999,50.56000000000001,47.84133333333333
45.0,30.358333333333334,31.936666666666667,30.94666666666667,29.900000000000002,28.929999999999996,30.065,23.790000000000003,28.503333333333334,24.863333333333333,26.636666666666667,25.111666666666668,26.049999999999997,24.191666666666666,28.093333333333334,24.179999999999996,26.706666666666667,29.251666666666665,24.88166666666667,29.521666666666665,24.99666666666666,25.793333333333333,27.22666666666667,28.438333333333333,29.804999999999996,23.55,29.613333333333333,29.59,24.334999999999997,27.936666666666667,24.798333333333332,24.50333333333333,29.988333333333333,24.311666666666667,26.926666666666666,28.35166666666666,25.294999999999998,27.639999999999997,26.27666666666667,30.781666666666666,30.588333333333335,30.731666666666666,31.231666666666666,30.419999999999998,30.099999999999998,25.399999999999995,28.986666666666665,29.685000000000002,30.61666666666667,31.028333333333332,30.873333333333335,28.721666666666664,27.24,28.554999999999996,29.349999999999998,28.00666666666667,28.054999999999996,28.974999999999998,31.11833333333333,29.63166666666667,26.48,28.574999999999992,28.2,27.74166666666667,28.685,30.265,29.706666666666667,31.358333333333334,30.913333333333338,31.73,29.084999999999997,30.378333333333334,29.38,28.685000000000002,30.810000000000002,30.301666666666666,29.586666666666662,29.295000000000005,30.665000000000003,28.686666666666664,30.94666666666667,29.36,29.371666666666666,30.165000000000003,29.295000000000005,26.888333333333332
65.0,17.346666666666664,18.993333333333336,18.446666666666665,17.13,16.426666666666666,17.41333333333333,12.936666666666667,16.55333333333333,13.876666666666667,14.963333333333333,14.030000000000001,14.96,13.323333333333332,15.88,13.663333333333334,15.476666666666665,16.726666666666663,13.976666666666665,16.963333333333335,14.326666666666668,14.446666666666665,15.706666666666669,16.486666666666668,17.38,13.256666666666666,16.956666666666667,16.763333333333335,13.729999999999999,15.686666666666667,14.156666666666666,13.583333333333334,17.049999999999997,13.75,15.593333333333334,16.313333333333333,14.536666666666667,16.310000000000002,15.33,17.75,17.566666666666666,17.716666666666665,18.61,17.533333333333335,17.22,13.793333333333331,16.32333333333333,16.983333333333334,17.636666666666667,18.296666666666667,18.436666666666667,16.476666666666663,15.586666666666668,16.273333333333337,16.55,16.040000000000003,15.799999999999997,16.526666666666667,18.17,17.063333333333336,14.679999999999998,16.583333333333332,15.836666666666668,15.763333333333334,17.026666666666667,17.38,17.133333333333336,18.69666666666667,18.513333333333332,19.203333333333337,16.46666666666667,17.806666666666665,16.643333333333334,16.433333333333334,18.02,17.44,17.17,16.656666666666666,18.30666666666667,16.14,18.446666666666665,16.540000000000003,16.75,17.343333333333334,16.656666666666666,14.886666666666665
75.0,10.143333333333333,11.550000000000002,11.116666666666667,9.933333333333332,9.476666666666667,10.233333333333334,7.283333333333332,9.966666666666667,8.116666666666665,8.723333333333334,8.263333333333332,8.893333333333334,7.6933333333333325,9.24,7.983333333333334,9.546666666666665,9.69,8.066666666666668,10.070000000000002,8.42,8.37,9.413333333333334,9.65,10.456666666666669,7.706666666666667,9.816666666666666,9.703333333333335,8.056666666666667,9.216666666666667,8.433333333333332,7.703333333333333,9.920000000000002,8.043333333333335,9.47,9.74,8.613333333333332,10.053333333333335,9.41,10.37,10.23,10.486666666666666,11.21,10.360000000000001,10.049999999999999,7.723333333333334,9.34,10.01,10.396666666666667,10.943333333333333,11.136666666666665,9.91,9.196666666666667,9.483333333333333,9.656666666666666,9.466666666666665,9.24,9.646666666666667,10.92,10.086666666666666,8.629999999999999,9.926666666666668,9.246666666666668,9.229999999999999,10.33,10.293333333333333,10.356666666666667,11.336666666666666,11.24,11.976666666666667,9.526666666666667,10.633333333333333,9.593333333333335,9.6,10.703333333333333,10.293333333333331,10.096666666666666,9.703333333333335,11.023333333333332,9.383333333333331,11.116666666666667,9.6,9.626666666666667,10.24,9.703333333333335,8.370000000000001
85.0,7.033333333333334,8.166666666666666,7.766666666666667,6.8,6.6000000000000005,7.066666666666666,4.933333333333334,7.0,5.866666666666667,5.966666666666666,5.866666666666667,6.266666666666667,5.5,6.3,5.633333333333333,6.8999999999999995,6.466666666666666,5.533333333333334,6.966666666666666,5.733333333333333,5.966666666666666,6.666666666666667,6.6000000000000005,7.433333333333334,5.366666666666667,6.6000000000000005,6.533333333333334,5.7,6.333333333333333,5.8999999999999995,5.199999999999999,6.733333333333333,5.6000000000000005,6.766666666666667,6.733333333333334,5.966666666666666,7.3,6.766666666666667,7.0,6.966666666666666,7.266666666666667,7.833333333333333,7.1000000000000005,6.900000000000001,5.3,6.233333333333333,6.900000000000001,7.133333333333334,7.633333333333333,7.733333333333333,6.933333333333334,6.3,6.466666666666666,6.666666666666667,6.533333333333334,6.4,6.566666666666666,7.566666666666666,6.966666666666666,6.1,6.900000000000001,6.333333333333333,6.333333333333333,7.266666666666667,7.1000000000000005,7.300000000000001,7.933333333333334,7.866666666666667,8.666666666666666,6.433333333333334,7.366666666666667,6.433333333333334,6.7,7.466666666666666,7.1000000000000005,7.033333333333334,6.766666666666667,7.633333333333333,6.466666666666666,7.766666666666667,6.633333333333333,6.466666666666666,7.133333333333333,6.766666666666667,5.599999999999999
